name,juridical,description,address,longitude,latitude,email,phone,link,departement,proposition
Centre de Ressources Autisme Région Alsace,,"Pôle départemental Adultes 67, Dr Codruta Ionescu-Ion – Dr Arielle Hochner",141 avenue de Strasbourg (EPSAN secteur 67G03) BP 83 67173 Brumath CEDEX,7.727577399999999,48.5679891,,388645737,,,,,,,,,,
MDPH Bas Rhin,,,6a rue du Verdon 67100 Strasbourg,,,accueil.mdph@cg67.fr,"08 00 74 79 00, 03 69 06 71 00",,,,,,,,,,
ABA67,,,15 route de Krauterghersheim (Chez Karine Maehrel) 67870 Bischoffsheim,7.736846799999999,48.550798,aba67.asso@gmail.com,608321965,,,,,,,,,,
Autisme Alsace,,,19 rue Louis Wiedemann 67230 Huttenheim,7.489887,48.4870639,,undefined,,,,,,,,,,
Réseau Familles – Pôle départemental Adultes 67,,,141 avenue de Strasbourg 67173 Brumath CEDEX,7.588179100000001,48.3629221,,388645737,,,,,,,,,,
Pôle régional Enfants et Adolescents et Antenne 68,,,15 rue Cranach 67200 Strasbourg,,,,388115952,,,,,,,,,,
Centre de Ressources Autisme Région Alsace,,Antenne 68,27 rue du 4ème RSM (CH Rouffach) 68250 Rouffach,7.7181234,48.5652452,,389787810,,,,,,,,,,
Centre de Ressources Autisme Région Alsace,,"Pôle départemental Adultes 68, Dr Christian Schaal – Dr Ayman Murad",13 rue Charles Sandherr (Espace Autismes) 68000 Colmar,7.292786099999999,47.934053,,389249923,,,,,,,,,,
MDPH Haut Rhin,,,48 avenue de la République BP 20351 68006 Colmar CEDEX,7.358511999999999,48.0793589,mdph@cg68.fr,389306810,,,,,,,,,,
Als’Asperger,,,Centre Hospitalier de Rouffach 68250 Rouffach,,,alsasperger@free.fr,781986433,,,,,,,,,,
Amitiés Autisme,,,6 rue Runzbach (Mme Vix Fabienne) 68230 Soultzbach-les-Bains,7.299417,47.957064,amitieautisme@gmail.com,389711348,,,,,,,,,,
Vital Autiste,,,1 rue Edighoffen 68000 Colmar,7.202845,48.036682,,"03 89 27 10 55, 06 84 10 41 16",,,,,,,,,,
Collectif Autisme Sud-Alsace,,,undefined,7.354005799999999,48.074696,,contact@collectifautisme68.fr,,,,,,,,,,
CRA Pôle adultes 68 – Espace Autismes,,,13 rue Charles Sandherr 68000 Colmar,-104.7956055,39.9129412,,"03 89 24 99 23, 03 89 23 11 01",,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,"Antenne de Bergerac, Médecin référent : Dr Toky Rajerison",9 avenue Albert Calmette (Centre Hospitalier Samuel Pozzi) 24108 Bergerac,7.3458717,48.0666088,,"05 53 63 86 63, 05 53 63 86 58",,,,,,,,,,
MDPH Dordogne,,,Rue du 26ème Régiment d’Infanterie (Bâtiment E - Cité Administrative Bugeaud) 24016 Périgueux CEDEX,0.483392,44.853806,mdp24@dordogne.fr,"05 53 03 33 55, 05 53 03 33 56",,,,,,,,,,
APEA Champcevinel,,"la Directrice : Mme SIRAU, dépend de la Fondation de l’Isle de Périgueux",Lieu-dit Majoulet 24750 Champcevinel,,,,553132011,,,,,,,,,,
Fondation John Bost,,,6 rue John Bost 24130 La Force,0.725841,45.215868,,"05 53 58 01 03, 05 53 58 54 13",,,,,,,,,,
Sésame Autisme,,,6 rue de la Dordogne 24680 Gardonne,0.3793381,44.8676452,sesameautisme24@wanadoo.fr,553270751,,,,,,,,,,
Réseau Bulle 24,,Entraide et solidarité pour les familles et les personnes concernées par l’autisme,24680 Gardonne,0.3329764,44.8381181,association24@reseaubulle.fr,06 22 58 52 64 (Vincent),,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,Coordonnateur : Dr Anouk Amestoy par délégation du Pr Bouvard,121 rue de la Béchade (Hôpital Charles Perrens) 33076 Bordeaux CEDEX,0.331866,44.836377,,"05 56 56 67 19, 05 56 56 67 10",,,,,,,,,,
MDPH Gironde,,,264 boulevard Godard (Immeuble le Phénix) 33300 Bordeaux,,,mdph-accueil@cg33.fr,"05 56 99 69 00, 05 56 99 69 50",,,,,,,,,,
D’une rive à l’autre,,,19 rue La Tourasse 33750 Saint-Quentin-de-Baron,-0.554149,44.8772685,,association.dunerivealautre@gmail.com,,,,,,,,,,
J’suis autiste mais j’me soigne,,,21 route du Port 33820 Braud-et-Saint-Louis,-0.2851366,44.8231501,abavb@vaincrelautisme.org,628435892,,,,,,,,,,
Lo Camin,,,Rue du Canton (Maison de Pays) 33490 Saint-Macaire,-0.6337554999999999,45.2473305,asso.locamin@gmail.com,"05 56 63 06 22, 06 31 47 41 80",,,,,,,,,,
ABA Attitude,,,51 cours Tartas (Maison des Associations) 33120 Arcachon,-0.226334,44.565289,aba.attitude@gmail.com,"05 56 66 69 18, 06 83 05 80 34",,,,,,,,,,
Teddy,,,9 rue Émile Combes 33270 Floirac,-1.1785016,44.652297,assoc.teddy@hotmail.fr,"05 57 54 88 41, 06 43 88 74 72",,,,,,,,,,
ADAPEI Gironde,,,39 rue Robert Caumont (Bureaux du lac II – bât. R) 33049 Bordeaux CEDEX,-0.5304781,44.8287379,siege@adapei33.com,"05 56 11 11 11, 05 56 11 11 12",,,,,,,,,,
Alter z’égaux,,,"5 square Jean Pionneau (Résidence du Parc, appt. 433) 33520 Bruges",,,enfantfee@modulonet.fr,"05 47 29 75 99, 06 16 06 54 73",,,,,,,,,,
APEI de Bègles Mussonville,,,98 rue Alexie Labro 33130 Bègles,-0.6127469999999999,44.88179299999999,"chcl.bardou@free.fr,, michele.houles@neuf.fr","05 56 87 87 70, 06 18 02 80 98",,,,,,,,,,
ARA Réseau Aquitaine Autisme et Troubles apparentés,,,6 chemin de Lou Poumey 33610 Cestas,-0.5601311999999999,44.7915193,aureag@wanadoo.fr,557835743,,,,,,,,,,
Asper 33,,,45 rue Saint Genès 33000 Bordeaux,-0.6758957,44.7432951,asper33@free.fr,556241030,,,,,,,,,,
Autisme Sud Gironde,,,2 rue de la Cavalle (Z.I. de la Briqueterie) 33610 Canéjan,-0.5796733,44.82910260000001,celes.sl@wanadoo.fr,"05 56 89 89 12, 06 17 32 28 04",,,,,,,,,,
Autisme Gironde,,,6 rue des Chevreuils (Lotissement Lestrille) 33370 Artigues-près-Bordeaux,-0.654621,44.762324,"contact@autisme-gironde.fr,, leclercjj@wanadoo.fr","05 56 31 76 62, 05 56 74 23 04",,,,,,,,,,
Handi Intégration,,,49 rue Armand Dulamon 33000 Bordeaux,-0.4957106000000001,44.873178,chan.sew.family@wanadoo.fr,556697067,,,,,,,,,,
Inter-phases,,,42 rue Marcelin Berthelot 33140 Villenave-d’Ornon,-0.5616766,44.8648017,interphases@laposte.net,679906035,,,,,,,,,,
P’tit Dom,,,15 chemin de Pichey 33170 Gradignan,-0.5781542,44.762734,ptitdom33@voila.fr,"06 76 38 04 25, 06 32 39 25 71",,,,,,,,,,
Nuage Bleu,,,3 rue Samuel Kirz (Résidence Québec) 33000 Bordeaux,-0.6227341,44.7772067,nuagebleu.association@orange.fr,556503711,,,,,,,,,,
Sésame Autisme Aquitaine,,,11 rue Rémi Belleau (Résidence Jean Monet) 33400 Talence,-0.5872689999999999,44.8350088,"sesame-autisme.aquitaine@wanadoo.f,, daniellequoix@aol.com",556849171,,,,,,,,,,
Association Sésame Autisme en Pays Foyen (ASAPF),,,Route du Tizac 33220 Port-Sainte-Foy-et-Ponchapt,-0.588054,44.802614,sesaasapf@free.fr,553270751,,,,,,,,,,
Scolarited,,Intégration sociale pour enfants « Asperger » et autistes de haut niveau,7 route de Touty 33370 Pompignac,0.193517,44.850934,scolarited@aol.com,665259724,,,,,,,,,,
Unis Vers,,,2 lieu-dit Loubeyre 33190 Barie,-0.4397062,44.8577393,unis_vers33@yahoo.fr,610352148,,,,,,,,,,
URAPEI Aquitaine,,,4 bis avenue de Chavailles (Les Bureaux du Lac I bât. 9) 33190 Bruges,-0.1239364,44.569269,urapei-aquitaine@wanadoo.fr,"05 56 75 53 03, 05 56 75 57 64",,,,,,,,,,
Union Régionale Autisme France Aquitaine,,Partenaire Autisme France,6 rue des Chevreuils (Lotissement Lestrille) 33370 Artigues-près-Bordeaux,3.2246995,51.209348,"leclercjj@wanadoo.fr,, leclerc.jeanjacques@neuf.fr",556742304,,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,Médecin référent : Dr Julie Farbos,Avenue de Nonères (Hôpital de jour « Maison d’Oze ») 40024 Mont-de-Marsan,-0.4957106000000001,44.873178,,de Mont-de-Marsan,,,,,,,,,,
MDPH Landes,,,836 avenue Eloi Ducom 40025 Mont-de-Marsan CEDEX,-0.4997819999999999,43.893485,mlph@cg40.fr,"05 58 51 53 73, 05 58 46 12 54",,,,,,,,,,
Autisme Amitié,,Partenaire Autisme France,1665 route de Soustons 40140 Magescq,,,,558477744,,,,,,,,,,
Autisme Landes,,Partenaire Autisme France,Maison Rome (c/o Mme Isabelle Toullec) 40300 Saint-Lon-les-Mines,-1.2459859,43.7677224,autisme.landes@club-internet.fr,"05 58 57 62 63, 06 63 16 26 98",,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,"Antenne d’Agen, Médecin référent : Dr Cédric Galera",47916 Agen,-1.126774,43.614072,,"05 53 77 69 82, 05 53 77 39 02",,,,,,,,,,
MDPH Lot-et-Garonne,,,1633 avenue du Maréchal Leclerc (Hôtel du Département) 47916 Agen CEDEX 9,2.092694,44.2641812,mdph47@cg47.fr,"05 53 69 20 50, 05 53 69 20 80",,,,,,,,,,
Planète Autisme,,Médecin référent : Dr Cédric Galera,10 rue Debussy 47000 Agen,,,planeteautisme@gmail.com,"09 65 27 57 95, 06 83 41 86 66",,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,"Antenne de Pau, La Directrice : Mme SIRAU",29 avenue du Général Leclerc (Centre Hospitalier des Pyrénées) 64039 Pau CEDEX,0.6381334,44.1957954,,"05 59 80 94 53, 05 59 80 95 49",,,,,,,,,,
Centre de Ressources Autisme Aquitaine,,"Antenne de Bayonne, Médecin référent : Dr Pierre Liange",13 avenue de l’Interne Jacques Loeb (Centre Hospitalier de la Côte Basque) 64109 Bayonne,2.739653,48.0085711,,"05 59 44 35 35, 05 59 63 35 88",,,,,,,,,,
MDPH Pyrénées Atlantiques,,,Rue Pierre Bonnard (Cité administrative) 64000 Pau,,,mdph.pau@mdph64.com,"05 59 27 50 50, 05 59 27 50 51",,,,,,,,,,
AGPI (Association pour la Guidance Parentale et Infantile),,,16 bis rue Jacques Terrier 64000 Pau,-0.370797,43.2951,agpi64@free.fr,559069318,,,,,,,,,,
ADAPEI des Pyrénées Atlantiques,,,105 avenue des Lilas BP 123 64001 Pau CEDEX,-0.3816774,43.2895852,adapei@adapei64.fr,559846489,,,,,,,,,,
Autisme et TED Côte Basque,,Partenaire Autisme France,130 chemin des Galharret 64690 Mouguerre,,,,614609503,,,,,,,,,,
Désir d’Ailes,,Partenaire Autisme France,11 rue Tran BP 21 64420 Pau,,,desir-dailes@hotmail.fr,682848486,,,,,,,,,,
Autisme Pau Béarn,,Partenaire Autisme France,12 avenue du 18ème RI 64000 Pau,-0.370797,43.2951,autisme.pau.bearn@hotmail.fr,"05 59 68 20 94, 05 59 68 24 42",,,,,,,,,,
Autisme 64 A.T.G.D.P.A.,,Partenaire Autisme France,Bourg (Mairie) 64120 Larceveau-Arros-Cibits,-0.3811452,43.2969345,busquetj@orange.fr,"05 59 80 24 28 (président), 06 15 99 53 46 (trésorière), 05 59 65 43 86",,,,,,,,,,
F.A.M. Bizideki,,,Quartier Cibits 64120 Larceveau-Arros-Cibits,-1.1017334,43.2226788,foyer.bizideki@orange.fr,559379150,,,,,,,,,,
Chrysalide,,,10 place André Emlinger (Le Forum) 64100 Bayonne,-1.087469,43.2257559,asschrysalide@wanadoo.fr,559421603,,,,,,,,,,
TED et TSA vont à l’École,,,15 rue du Ruisseau 64420 Artigueloutan,-1.474841,43.492949,ted.et.tsa@orange.fr,559801979,,,,,,,,,,
Un Nouveau Regard,,"Partenaire Autisme France, Pour les parents d’enfants autistes",Quartier Minhotz (Maison Batea) 64240 Hasparren,-0.2423919,43.27347109999999,daugreilh.jean-guy@neuf.fr,559294986,,,,,,,,,,
MDPH Allier,,,Rue Aristide Briand (Château de Bellevue) 03400 Yzeure,-1.30525,43.383952,contact@mdph03.fr,"04 70 34 15 25, 04 70 34 15 21",,,,,,,,,,
Allier Sésame Autisme,,,5 route de Vallon-en-Sully 03370 Chazemais,3.354775,46.566314,contact@autisme03.fr,470067532,,,,,,,,,,
APEAH,,Partenaire Autisme France,35 rue du Docteur ROUX BP 1225 03104 Montluçon,2.5259473,46.48344549999999,apeah@apeah.org,470022421,,,,,,,,,,
MDPH Cantal,,,Rue Alexandre Pinard (Conseil général du Cantal) 15000 Aurillac,2.6019912,46.3415466,acourchinoux@cg15.fr,471497979,,,,,,,,,,
ADAPEI Cantal,,,1 rue Laparra de Fieux (Rez-de-chaussée) 15000 Aurillac,2.444997,44.930953,adapeiasso@adapei15.com,"04 71 48 44 97, 04 71 48 85 33",,,,,,,,,,
Association Éducautisme,,,Les Roussinches 15230 Brezons,2.444997,44.930953,dolcherjean@orange.fr,"04 71 20 97 66, 06 85 08 36 97",,,,,,,,,,
ADA 15,,Partenaire Autisme France,3bis rue Louis Farges 15000 Aurillac,2.793128,45.005336,autisme.ada15@gmail.com,688226694,,,,,,,,,,
Sésame Autisme Cantal,,,10 rue Paul Doumer 15400 Riom-ès-Montagnes,2.4515128,44.9369068,,471781750,,,,,,,,,,
MDPH Haute-Loire,,,9 rue des Moulins CS 40114 43009 Le Puy-en-Velay,2.6672576,45.2837879,accueil@mdph43.fr,"04 71 07 21 80, 04 71 07 21 99",,,,,,,,,,
Autisme Haute-Loire,,,7 avenue de la Libération (Mairie) 43120 Monistrol-sur-Loire,3.882936,45.042768,c.bapt@wanadoo.fr,471753305,,,,,,,,,,
Haute-Loire Avenir,,,15 rue Saint Antoine 43200 Yssingeaux,7.7203409,48.5947809,hte-loire.avenir@wanadoo.fr,"04 71 56 02 78, 04 71 56 01 58",,,,,,,,,,
Centre de Ressources Autisme Auvergne,,,28 place Henri Dunant (CHU de Clermont-Ferrand) 63000 Clermont-Ferrand,4.124959,45.1430689,,"04 73 75 19 48 (enfants et ados), 04 73 75 49 93 (adultes)",,,,,,,,,,
MDPH Puy-de-Dôme,,,11 rue Vaucanson 63100 Clermont-Ferrand,3.1198023,45.771264,mdph@mdph63.fr,"04 73 74 51 20, 04 73 74 51 28",,,,,,,,,,
T’Asperger,,,4 avenue de Royat 63130 Royat,3.1079363,45.7869736,,tasperger63@gmail.com,,,,,,,,,,
Agir pour vivre ensemble nos différences,,,2 allée du Clos des Palles 63200 Marsat,3.0590458,45.7459633,avec@laposte.net,682948818,,,,,,,,,,
Autisme Action,,Partenaire Autisme France,4 avenue Anatole France (Résidence Orée du Parc - appt. 166) 63130 Royat,3.082127,45.873235,contact@autisme-action.com,"04 73 28 44 41, 04 73 28 44 41",,,,,,,,,,
A.B.A. - Auvergne,,,1 rue de la Coutellerie 63350 Saint-Rémy-sur-Durolle,3.054232,45.764929,,asso.aba.auvergne@gmail.com,,,,,,,,,,
Autisme Auvergne,,Partenaire Autisme France,17 rue de Riom (Crouzol) 63530 Volvic,3.5476833,45.8538827,,473714590,,,,,,,,,,
Autisme Progrès 63,,,22 avenue Gershwin 63200 Riom,3.04993,45.8879284,autismeprogres63@gmail.com,443980011,,,,,,,,,,
Notre Petit Prince Asperger,,,63940 Marsac-en-Livradois,3.1377917,45.8937069,,notrepetitprinceasperger@gmail.com,,,,,,,,,,
Sésame Autisme,,,24 allée des Amandiers 63170 Aubière,3.729583,45.478751,,473445281,,,,,,,,,,
Centre de Ressources Autisme Basse-Normandie,,"Coordonnateur : Dr Edgar Moussaoui, Chef de service : Pr Jean-Marc Baleyte",27 boulevard Bertrand (CHU de Caen – Service de psychiatrie de l’enfant et de l’adolescent) 14033 Caen CEDEX 9,3.1086435,45.7534599,,"02 31 06 58 20, 02 31 06 58 21, 02 31 06 58 33",,,,,,,,,,
A.B.A. - Apprendre Autrement Normandie,,,BP 64 14160 Dives-sur-Mer,,,,abanormandie@sfr.fr,,,,,,,,,,
Autisme Basse-Normandie,,Partenaire Autisme France,54 rue Eustache Restout 14000 Caen,-0.100024,49.28656,evelyne.nove@wanadoo.fr,"02 31 52 04 27, 02 31 52 04 27",,,,,,,,,,
MDPH Calvados,,,17 rue du 11 Novembre 14000 Caen,-0.355746,49.1639259,mdph@calvados.fr,800100522,,,,,,,,,,
MDPH Manche,,,586 rue de l’Exode (Maison des Solidarités de la Manche) 50008 Saint Lô CEDEX,-0.3580588,49.1779108,mda@manche.fr,"08 10 10 10 50, 02 33 55 86 17",,,,,,,,,,
APAEIA (Association des Parents et Amis d’Enfants & Adultes Inadaptés de l’Avranchin),,,Rue de Dunkerque BP 135 50301 Avranches,,,as.apaeia@laposte.net,"02 33 79 03 50, 02 33 79 03 69",,,,,,,,,,
Autisme Manche,,Autre coordonnées : La Campionnerie 50260 L’Étang-Bertrand,Les Coignardières 50300 Le Val-Saint-Père,,,"philippe.dumas-milne-edwards@wanadoo.fr,, nathalie.baudry6@wanadoo.fr","02 33 58 90 95, 02 33 04 64 70",,,,,,,,,,
Autisme Basse-Normandie,,,122 bis rue du Val-de-Saire 50100 Cherbourg,-1.3809108,48.66424199999999,autisme.basse.normandie@orange.fr,231520427,,,,,,,,,,
Autisme Orne,,,6 rue Desaix 61300 L’Aigle,-1.6070805,49.6386838,agnes.woimant@wanadoo.fr,"02 33 24 74 62, 02 33 24 05 59",,,,,,,,,,
MDPH Orne,,,13 rue Marchand Saillant BP 169 61005 Alençon,0.630169,48.761988,mdph@cg61.fr,233150031,,,,,,,,,,
ADAPEI de l’Orne,,,48 rue Lazare Carnot BP 278 61008 Alençon CEDEX,0.091266,48.432856,adapei.orne@adapei61.fr,"02 33 82 58 00, 02 33 26 63 55",,,,,,,,,,
Centre de Ressources Autisme Bourgogne,,"Coordonnateur : Fabien Joly, Responsable médicale : Dr Céline Henry","10 boulevard du Maréchal de Lattre de Tassigny (Unité régionale de diagnostic et d’évaluation, CHU du Bocage – école des cadres infirmiers – 2ème étage,) BP 77908 21077 Dijon",,,,"03 80 29 54 19, 03 80 29 53 10",,,,,,,,,,
MDPH Côte d’Or,,,1 rue Joseph Tissot (Cité départementale Henri Berger) BP 1601 21000 Dijon CEDEX,5.04148,47.322047,mdph@cg21.fr,800801090,,,,,,,,,,
SESSAD RESAM Autisme,,,2 rue Jean Sans Peur 21850 Saint-Apollinaire,,,sessad-ted@ugecam-bfc.cnamts.fr,"03 45 21 42 92, 03 80 66 76 48",,,,,,,,,,
SESSAD « Centre Aurore »,,,17 bis rue Jean XXIII 21000 Dijon,5.0926619,47.3365968,sessad@acodege.fr,380591638,,,,,,,,,,
Institut Médico-Éducatif La Pyramide,,,20 rue Saint Vincent de Paul 21000 Dijon,5.0650572,47.3327917,ime.pyramide@acodege.fr,380280008,,,,,,,,,,
IME Les Colibris,,,3 B rue Gilbert Bécaud 21800 Chevigny-Saint-Sauveur,4.994937,47.3025281,colibris@acodege.fr,380428413,,,,,,,,,,
FAM Résidence du Parc,,,2 rue du Lavoir 21700 Agencourt,5.1253664,47.2964896,,"03 80 61 05 47, 03 80 61 14 27",,,,,,,,,,
Respir Bourgogne,,Partenaire Autisme France,75D rue de Talant 21000 Dijon,4.974937499999999,47.1291863,contact@respir-bourgogne.fr,345214292,,,,,,,,,,
ADAPEI de la Nièvre,,,120 route de Beauregard (FEUILLES) 58130 Urzy,5.020408499999999,47.3292005,siege.nevers@adapei58.asso.fr,386930777,,,,,,,,,,
Autisme 58,,,76 Grande rue 58130 Guérigny,3.1872879,47.03703360000001,asso.autisme58@gmail.com,386373185,,,,,,,,,,
Centre de Ressources Autisme Bourgogne - Saône-et-Loire,,"Coordonnateur : Fabien Joly, Responsable médicale : Dr Céline Henry","55 rue Auguste Champion (Unité départementale de la Saône et Loire, CHS de Sevrey) 71331 Chalon sur Saône CEDEX",3.1924169,47.0843683,,385928398,,,,,,,,,,
Les TED’S,,Partenaire Autisme France,Route du Moulin (Chamottey) 71580 Saillenard,,,lesteds@batiex.fr,"03 84 24 02 42, 06 89 89 22 73",,,,,,,,,,
Autisme 71 – GEPAP,,,8 impasse Déesse Epona 71640 Saint-Martin-sous-Montaigu,5.3718029,46.7053932,,"03 85 45 23 05, 06 09 72 64 22",,,,,,,,,,
Réseau Bulle 71,,Entraide et solidarité pour les familles et les personnes concernées par l’autisme,71570 Chânes,4.714061099999999,46.8160041,association71@reseaubulle.fr,06 32 12 17 69 (Coralie),,,,,,,,,,
Centre de Ressources Autisme Bourgogne - Yonne,,"Coordonnateur : Fabien Joly, Responsable médicale : Dr Céline Henry","1 rue Girard de Cailleux (Unité départementale de l’Yonne, CHS) 89000 Auxerre",4.756907,46.251093,,"03 86 94 39 88, 03 86 72 12 32",,,,,,,,,,
Autisme et T.E.D. 89,,Partenaire Autisme France,8 rue des Sœurs 89580 Migé,3.573781,47.798202,,638604408,,,,,,,,,,
Sésame Autisme 89,,,14 rue Jean Jaurès 89190 Villeneuve-l’Archevêque,3.5437547,47.675593,sesame-autisme89@hotmail.fr,358150552,,,,,,,,,,
MDPH 22,,,3 rue Villiers de l’Isle Adam CS 50401 22194 Plérin CEDEX,3.5514874,48.2350954,mdph@mdph.cotesdarmor.fr,"0 800 11 55 28 (n° vert), 02 96 01 01 80",,,,,,,,,,
Autisme Ouest 22,,Partenaire Autisme France,Liffiac 22590 Trégomeur,,,autisme_ouest_22@orange.fr,296791528,,,,,,,,,,
Autisme Trégor Goëlo,,,24 chemin de Kerwégan (Servel) 22300 Lannion,-2.900048,48.562183,autisme_tregorgoelo@orange.fr,296546154,,,,,,,,,,
Mélodie,,,4 rue de Ker Nheli 22560 Trébeurden,-3.4950934,48.7441174,autisme.melodie@gmail.com,621040558,,,,,,,,,,
Autisme Breizh Autonomie,,,21 rue Bécôt 22500 Paimpol,-3.566092,48.769253,autisme.breizh.autonomie22@orange.fr,296551287,,,,,,,,,,
Centre de Ressources Autisme Bretagne,,Unité d’Appui et de Coordination,125 rue Jean Monnet (ZA Prat Pip Sud) 29490 Guipavas,-3.0525216,48.7787562,contact@cra.bzh,298894770,,,,,,,,,,
Autisme Fédération Bretagne Pays de la Loire,,,55 rue de la Vierge Noire 29600 Morlaix,-4.400707,48.435977,secretariat@afbpl.fr,787568640,,,,,,,,,,
Asperansa,,"Partenaire Autisme France, Alliance les 4A",10 rue Monge 29200 Brest,-3.8287444,48.5906139,asperansa@asperansa.org,689240304,,,,,,,,,,
MDPH du Finistère,,,1C rue Félix Le Dantec CS 52019 29018 Quimper CEDEX,-4.49038,48.38354229999999,contact@mdph29.fr,"02 98 90 50 50, 02 98 90 90 51",,,,,,,,,,
Autisme Cornouaille,,Partenaire Autisme France,40 rue du Ménez 29500 Ergué-Gabéric,,,autismecornouaille@orange.fr,"06 82 33 69 73, 06 66 77 02 97",,,,,,,,,,
Lud’Autisme,,,8 rue Traverse 29800 Landerneau,-4.0298606,48.0185987,,ludautisme@gmail.com,,,,,,,,,,
A.B.A. - Finistère,,,10 rue de Kérogan 29000 Quimper,-4.2522927,48.4511403,aba.finistere@orange.fr,964110375,,,,,,,,,,
MDPH 35,,,13 avenue de Cucillé CS 13103 35031 Rennes CEDEX,-4.0958299,47.9684004,contact@mdph35.fr,810011919,,,,,,,,,,
Autisme Côte d’Émeraude,,Partenaire Autisme France,57 rue du Dr Célestin Huet 35400 Saint-Malo,,,autisme.emeraude@free.fr,"02 99 81 96 58, 02 99 16 98 60",,,,,,,,,,
Autism’Aide 35,,,8 rue Gabriel Germain 35000 Rennes,-2.0079657,48.6229625,autismaide35@free.fr,636775587,,,,,,,,,,
Union Régionale Autisme France Bretagne,,,10 allée de Berne (chez M. Denis Hue) 35200 Rennes,-1.6936049,48.13192540000001,,Autisme France,,,,,,,,,,
Goanag,,Partenaire Autisme France,10 allée de Berne 35200 Rennes,-1.6654261,48.0906507,,299538881,,,,,,,,,,
Association s’Éveiller et Sourire,,,36 boulevard Albert 1er 35200 Rennes,-1.6654507,48.0857711,,Autisme France,,,,,,,,,,
TED Dit - Autisme Pays de Fougères,,Partenaire Autisme France,9 bis rue du Fresne 35460 Saint-Brice-en-Coglès,-1.6802292,48.0887848,famille.mellier@orange.fr,299978904,,,,,,,,,,
A.B.A. - Ille-et-Vilaine,,,81 boulevard Albert 1er 35200 Rennes,-1.3774898,48.4142237,aba.illeetvilaine.ca@gmail.com,652577902,,,,,,,,,,
